Date,Price,Open,High,Low,Change %
23-Jun-11,1.4259,1.4335,1.2212,1.2165,0.15%
24-Jun-11,1.4193,1.4264,1.2217,1.2177,0.01%
27-Jun-11,1.4284,1.4193,1.2221,1.2154,0.20%
28-Jun-11,1.4369,1.4284,1.2257,1.2151,-0.66%
29-Jun-11,1.4436,1.4364,1.2254,1.2129,-0.11%
30-Jun-11,1.4506,1.4434,1.2273,1.2225,-0.09%
1-Jul-11,1.4525,1.45,1.2274,1.2191,0.57%
4-Jul-11,1.4541,1.4543,1.2213,1.2125,0.38%
5-Jul-11,1.4423,1.4541,1.217,1.2121,0.07%
6-Jul-11,1.4318,1.4421,1.2177,1.2115,0.26%
7-Jul-11,1.4361,1.4318,1.2163,1.2105,-0.21%
8-Jul-11,1.427,1.436,1.216,1.2075,0.46%
11-Jul-11,1.4036,1.4215,1.2148,1.2059,-0.17%
12-Jul-11,1.3979,1.4046,1.2134,1.2095,-0.06%
13-Jul-11,1.4184,1.3976,1.2167,1.2078,-0.10%
14-Jul-11,1.4145,1.4189,1.2178,1.211,-0.16%
15-Jul-11,1.4153,1.4144,1.2177,1.21,0.21%
18-Jul-11,1.4111,1.4113,1.2119,1.204,0.37%
19-Jul-11,1.4156,1.4101,1.2077,1.1926,1.19%
20-Jul-11,1.422,1.4153,1.2004,1.1924,-0.28%
21-Jul-11,1.4423,1.4226,1.1965,1.1907,0.41%
22-Jul-11,1.4356,1.4423,1.1941,1.1884,0.00%
25-Jul-11,1.4376,1.4398,1.1931,1.1882,0.21%
26-Jul-11,1.4512,1.4375,1.1897,1.1837,0.41%
27-Jul-11,1.4365,1.4514,1.1906,1.18,-0.11%
28-Jul-11,1.4331,1.4373,1.1891,1.1849,-0.17%
29-Jul-11,1.4396,1.4328,1.1883,1.1816,0.18%
1-Aug-11,1.4251,1.4358,1.1892,1.1848,-0.08%
2-Aug-11,1.4193,1.4262,1.1895,1.1842,0.07%
3-Aug-11,1.4325,1.4183,1.1869,1.1813,0.18%
4-Aug-11,1.4108,1.4332,1.1838,1.1798,0.24%
